Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,8,0,3,11.851270875922637,1.2989999959245324,50.28729198966175,347.0,0.0673515805071114,0.0,3,15,19,19,50,50,50,50,50,50,50
POST,/infer [long],14,0,36000.0,32911.28305378931,7060.5002920055995,48965.9349170106,1096.5714285714287,0.11786526588744496,0.0,38000,44000,45000,45000,47000,49000,49000,49000,49000,49000,49000
POST,/infer [medium],26,0,27000.0,29824.334249999083,3072.1114159969147,47711.76395799557,591.1153846153846,0.2188926366481121,0.0,28000,41000,43000,44000,46000,46000,48000,48000,48000,48000,48000
POST,/infer [short],22,0,28000.0,28546.20697909294,1219.149832992116,47044.50750000251,353.8636363636364,0.18521684639455638,0.0,31000,36000,39000,40000,44000,46000,47000,47000,47000,47000,47000
,Aggregated,70,0,27000.0,26632.885956572558,1.2989999959245324,48965.9349170106,589.7428571428571,0.5893263294372248,0.0,27000,36000,41000,44000,46000,47000,48000,49000,49000,49000,49000
