Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,21,0,2,9.898827335010061,1.0276670072926208,78.06379100657068,337.6666666666667,0.17587340176566582,0.0,2,3,3,18,30,32,78,78,78,78,78
POST,/infer [long],10,0,26000.0,22818.83346669929,3926.523542002542,32097.41116699297,1100.5,0.08374923893603134,0.0,26000,27000,30000,31000,32000,32000,32000,32000,32000,32000,32000
POST,/infer [medium],31,0,23000.0,22338.70680377473,10201.784000004409,31729.484333001892,529.6451612903226,0.25962264070169716,0.0,23000,25000,27000,27000,28000,32000,32000,32000,32000,32000,32000
POST,/infer [short],41,0,25000.0,23077.81289124481,4829.046375001781,38240.48820899043,335.9024390243902,0.34337187963772847,0.0,25000,28000,29000,29000,30000,31000,38000,38000,38000,38000,38000
,Aggregated,103,0,23000.0,18127.052907758076,1.0276670072926208,38240.48820899043,468.80582524271847,0.8626171610411227,0.0,23000,26000,27000,28000,30000,31000,32000,33000,38000,38000,38000
