Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,22,0,2,4.0345720474513,0.9044170001288876,29.22658299212344,336.1363636363636,0.18474648091200613,0.0,2,3,3,3,5,16,29,29,29,29,29
POST,/infer [long],9,0,26000.0,22508.985439664684,7168.170459000976,31959.723457999644,1068.7777777777778,0.07557810582763887,0.0,26000,27000,29000,29000,32000,32000,32000,32000,32000,32000,32000
POST,/infer [medium],36,0,24000.0,23229.029222195095,2526.0791670007166,31714.162125004805,564.2222222222222,0.30231242331055547,0.0,24000,28000,29000,29000,31000,31000,32000,32000,32000,32000,32000
POST,/infer [short],34,0,22000.0,21898.64483820694,1154.239667012007,30378.823499995633,324.38235294117646,0.2855172886821913,0.0,23000,25000,27000,29000,29000,30000,30000,30000,30000,30000,30000
,Aggregated,101,0,21000.0,17658.105010297884,0.9044170001288876,31959.723457999644,478.76237623762376,0.8481542987323918,0.0,21000,25000,27000,28000,30000,31000,31000,32000,32000,32000,32000
