Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773770939,20,GET,/health,0.571429,0.000000,20,20,51,51,51,51,51,51,51,51,51,5,0,20,26.854975195601583,17.38454199221451,51.2028749944875,341.0
1773770939,20,POST,/infer [long],0.142857,0.000000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,2,0,4000.0,5741.228020997369,3972.034042002633,7510.421999992104,1036.5
1773770939,20,POST,/infer [short],0.142857,0.000000,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,1,0,3914.256417003344,3914.256417003344,3914.256417003344,3914.256417003344,349.0
1773770939,20,,Aggregated,0.857143,0.000000,51,3900,4000,4000,7500,7500,7500,7500,7500,7500,7500,8,0,28,1941.3734168720111,17.38454199221451,7510.421999992104,515.875
1773770940,20,GET,/health,0.571429,0.000000,20,20,51,51,51,51,51,51,51,51,51,5,0,20,26.854975195601583,17.38454199221451,51.2028749944875,341.0
1773770940,20,POST,/infer [long],0.142857,0.000000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,2,0,4000.0,5741.228020997369,3972.034042002633,7510.421999992104,1036.5
1773770940,20,POST,/infer [short],0.142857,0.000000,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,1,0,3914.256417003344,3914.256417003344,3914.256417003344,3914.256417003344,349.0
1773770940,20,,Aggregated,0.857143,0.000000,3900,3900,4000,4000,7500,7500,7500,7500,7500,7500,7500,8,0,28,1941.3734168720111,17.38454199221451,7510.421999992104,515.875
1773770941,20,GET,/health,0.571429,0.000000,20,20,51,51,51,51,51,51,51,51,51,5,0,20,26.854975195601583,17.38454199221451,51.2028749944875,341.0
1773770941,20,POST,/infer [long],0.142857,0.000000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,2,0,4000.0,5741.228020997369,3972.034042002633,7510.421999992104,1036.5
1773770941,20,POST,/infer [short],0.142857,0.000000,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,1,0,3914.256417003344,3914.256417003344,3914.256417003344,3914.256417003344,349.0
1773770941,20,,Aggregated,0.857143,0.000000,3900,3900,4000,4000,7500,7500,7500,7500,7500,7500,7500,8,0,28,1941.3734168720111,17.38454199221451,7510.421999992104,515.875
1773770942,20,GET,/health,0.500000,0.000000,20,20,20,20,20,20,20,20,20,20,20,5,0,20,26.854975195601583,17.38454199221451,51.2028749944875,341.0
1773770942,20,POST,/infer [long],0.200000,0.000000,7500,7500,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,0,7500.0,7314.1824583290145,3972.034042002633,10460.091332992306,1065.3333333333333
1773770942,20,POST,/infer [short],0.100000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,2,0,3914.256417003344,7084.4167085015215,3914.256417003344,10254.5769999997,255.5
1773770942,20,,Aggregated,0.800000,0.000000,4000,7500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10,0,51,3624.5655667968094,17.38454199221451,10460.091332992306,541.2
1773770943,20,GET,/health,0.500000,0.000000,20,20,20,20,20,20,20,20,20,20,20,5,0,20,26.854975195601583,17.38454199221451,51.2028749944875,341.0
1773770943,20,POST,/infer [long],0.200000,0.000000,7500,7500,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,0,7500.0,7314.1824583290145,3972.034042002633,10460.091332992306,1065.3333333333333
1773770943,20,POST,/infer [short],0.100000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,2,0,3914.256417003344,7084.4167085015215,3914.256417003344,10254.5769999997,255.5
1773770943,20,,Aggregated,0.800000,0.000000,7500,7500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10,0,51,3624.5655667968094,17.38454199221451,10460.091332992306,541.2
1773770944,20,GET,/health,0.300000,0.000000,20,20,20,20,20,20,20,20,20,20,20,5,0,20,26.854975195601583,17.38454199221451,51.2028749944875,341.0
1773770944,20,POST,/infer [long],0.200000,0.000000,7500,7500,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,0,7500.0,7314.1824583290145,3972.034042002633,10460.091332992306,1065.3333333333333
1773770944,20,POST,/infer [medium],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,11467.378916000598,11467.378916000598,11467.378916000598,11467.378916000598,471.0
1773770944,20,POST,/infer [short],0.100000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,2,0,3914.256417003344,7084.4167085015215,3914.256417003344,10254.5769999997,255.5
1773770944,20,,Aggregated,0.600000,0.000000,7500,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,11,0,3900.0,4337.5485985426085,17.38454199221451,11467.378916000598,534.8181818181819
1773770945,20,GET,/health,0.200000,0.000000,18,18,18,18,18,18,18,18,18,18,18,6,0,18,22.66196549559633,1.6969169955700636,51.2028749944875,341.0
1773770945,20,POST,/infer [long],0.300000,0.000000,7500,7500,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,0,7500.0,7314.1824583290145,3972.034042002633,10460.091332992306,1065.3333333333333
1773770945,20,POST,/infer [medium],0.000000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,1,0,11467.378916000598,11467.378916000598,11467.378916000598,11467.378916000598,471.0
1773770945,20,POST,/infer [short],0.200000,0.000000,10000,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000,3,0,10000.0,8866.520902665798,3914.256417003344,12430.72929099435,298.6666666666667
1773770945,20,,Aggregated,0.700000,0.000000,10000,10000,11000,11000,12000,12000,12000,12000,12000,12000,12000,13,0,3900.0,4626.573907073739,1.6969169955700636,12430.72929099435,508.38461538461536
1773770946,20,GET,/health,0.200000,0.000000,18,18,18,18,18,18,18,18,18,18,18,6,0,18,22.66196549559633,1.6969169955700636,51.2028749944875,341.0
1773770946,20,POST,/infer [long],0.300000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,0,7500.0,7314.1824583290145,3972.034042002633,10460.091332992306,1065.3333333333333
1773770946,20,POST,/infer [medium],0.000000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,1,0,11467.378916000598,11467.378916000598,11467.378916000598,11467.378916000598,471.0
1773770946,20,POST,/infer [short],0.200000,0.000000,10000,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000,3,0,10000.0,8866.520902665798,3914.256417003344,12430.72929099435,298.6666666666667
1773770946,20,,Aggregated,0.700000,0.000000,10000,10000,11000,11000,12000,12000,12000,12000,12000,12000,12000,13,0,3900.0,4626.573907073739,1.6969169955700636,12430.72929099435,508.38461538461536
1773770947,20,GET,/health,0.200000,0.000000,18,18,18,18,18,18,18,18,18,18,18,6,0,18,22.66196549559633,1.6969169955700636,51.2028749944875,341.0
1773770947,20,POST,/infer [long],0.200000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,0,7500.0,7314.1824583290145,3972.034042002633,10460.091332992306,1065.3333333333333
1773770947,20,POST,/infer [medium],0.100000,0.000000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,2,0,11467.378916000598,12399.472562501614,11467.378916000598,13331.56620900263,589.0
1773770947,20,POST,/infer [short],0.200000,0.000000,10000,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000,3,0,10000.0,8866.520902665798,3914.256417003344,12430.72929099435,298.6666666666667
1773770947,20,,Aggregated,0.700000,0.000000,10000,11000,12000,12000,13000,13000,13000,13000,13000,13000,13000,14,0,3900.0,5248.3590714972315,1.6969169955700636,13331.56620900263,522.5714285714286
1773770948,20,GET,/health,0.200000,0.000000,18,18,18,18,18,18,18,18,18,18,18,6,0,18,22.66196549559633,1.6969169955700636,51.2028749944875,341.0
1773770948,20,POST,/infer [long],0.200000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,0,7500.0,7314.1824583290145,3972.034042002633,10460.091332992306,1065.3333333333333
1773770948,20,POST,/infer [medium],0.100000,0.000000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,2,0,11467.378916000598,12399.472562501614,11467.378916000598,13331.56620900263,589.0
1773770948,20,POST,/infer [short],0.200000,0.000000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,3,0,10000.0,8866.520902665798,3914.256417003344,12430.72929099435,298.6666666666667
1773770948,20,,Aggregated,0.700000,0.000000,10000,11000,12000,12000,13000,13000,13000,13000,13000,13000,13000,14,0,3900.0,5248.3590714972315,1.6969169955700636,13331.56620900263,522.5714285714286
1773770949,20,GET,/health,0.200000,0.000000,3,3,18,18,18,18,18,18,18,18,18,7,0,18,19.831637138850056,1.6969169955700636,51.2028749944875,341.0
1773770949,20,POST,/infer [long],0.200000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,0,7500.0,7314.1824583290145,3972.034042002633,10460.091332992306,1065.3333333333333
1773770949,20,POST,/infer [medium],0.100000,0.000000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,2,0,11467.378916000598,12399.472562501614,11467.378916000598,13331.56620900263,589.0
1773770949,20,POST,/infer [short],0.200000,0.000000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,3,0,10000.0,8866.520902665798,3914.256417003344,12430.72929099435,298.6666666666667
1773770949,20,,Aggregated,0.700000,0.000000,10000,11000,12000,12000,13000,13000,13000,13000,13000,13000,13000,15,0,3900.0,4898.658444530641,1.6969169955700636,13331.56620900263,510.46666666666664
1773770950,20,GET,/health,0.100000,0.000000,3,3,3,3,3,3,3,3,3,3,3,7,0,18,19.831637138850056,1.6969169955700636,51.2028749944875,341.0
1773770950,20,POST,/infer [long],0.200000,0.000000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,4,0,7500.0,9685.970343743975,3972.034042002633,16801.333999988856,1090.5
